[supervision] 200 meetings across 2 server(s)
[supervision] (48/200) DenverCityCouncil_05092022 steps=6 nop=0 items=5 dirty=2
[supervision] (49/200) DenverCityCouncil_05102021 steps=16 nop=0 items=9 dirty=5
[supervision] (50/200) DenverCityCouncil_05232022 steps=3 nop=0 items=6 dirty=1
[supervision] (51/200) DenverCityCouncil_05312016 steps=15 nop=0 items=9 dirty=6
[supervision] (52/200) DenverCityCouncil_06252018 steps=5 nop=0 items=4 dirty=1
[supervision] (53/200) DenverCityCouncil_06272016 steps=11 nop=0 items=5 dirty=2
[supervision] (54/200) DenverCityCouncil_07082019 steps=13 nop=0 items=7 dirty=3
[supervision] (55/200) DenverCityCouncil_07092018 steps=6 nop=0 items=9 dirty=1
[supervision] (56/200) DenverCityCouncil_07122021 steps=6 nop=0 items=6 dirty=0
[supervision] (57/200) DenverCityCouncil_07212014 steps=2 nop=0 items=1 dirty=0
[supervision] (58/200) DenverCityCouncil_08052019 steps=12 nop=0 items=3 dirty=5
[supervision] (59/200) DenverCityCouncil_08062018 steps=5 nop=0 items=6 dirty=0
[supervision] (60/200) DenverCityCouncil_08142017 steps=20 nop=0 items=7 dirty=8
[supervision] (61/200) DenverCityCouncil_08162021 steps=13 nop=0 items=7 dirty=4
[supervision] (62/200) DenverCityCouncil_08252014 steps=10 nop=0 items=5 dirty=4
[supervision] (63/200) DenverCityCouncil_08282017 steps=8 nop=0 items=3 dirty=3
[supervision] (64/200) DenverCityCouncil_08292016 steps=9 nop=0 items=9 dirty=2
[supervision] (65/200) DenverCityCouncil_09182017 steps=3 nop=0 items=3 dirty=0
[supervision] (66/200) DenverCityCouncil_09232019 steps=7 nop=0 items=5 dirty=2
[supervision] (67/200) DenverCityCouncil_09242018 steps=3 nop=0 items=1 dirty=2
[supervision] (68/200) DenverCityCouncil_09272021 steps=2 nop=0 items=3 dirty=0
[supervision] (69/200) DenverCityCouncil_10172016 steps=4 nop=0 items=3 dirty=1
[supervision] (70/200) DenverCityCouncil_10212019 steps=5 nop=0 items=4 dirty=2
[supervision] (71/200) DenverCityCouncil_10232017 steps=3 nop=0 items=1 dirty=0
[supervision] (72/200) DenverCityCouncil_10242016 steps=2 nop=0 items=2 dirty=0
[supervision] (73/200) DenverCityCouncil_10252021 steps=6 nop=0 items=6 dirty=2
[supervision] (74/200) DenverCityCouncil_10282019 steps=9 nop=0 items=3 dirty=2
[supervision] (75/200) DenverCityCouncil_10312016 steps=1 nop=0 items=1 dirty=0
[supervision] (76/200) DenverCityCouncil_11152021 steps=5 nop=0 items=1 dirty=3
[supervision] (77/200) DenverCityCouncil_11162020 steps=13 nop=0 items=6 dirty=6
[supervision] (78/200) DenverCityCouncil_11222021 steps=5 nop=0 items=7 dirty=2
[supervision] (79/200) DenverCityCouncil_11282016 steps=2 nop=0 items=5 dirty=0
[supervision] (80/200) DenverCityCouncil_11292021 steps=11 nop=0 items=7 dirty=3
[supervision] (81/200) DenverCityCouncil_12012014 steps=7 nop=0 items=5 dirty=3
[supervision] (82/200) DenverCityCouncil_12022019 steps=10 nop=0 items=6 dirty=2
[supervision] (83/200) DenverCityCouncil_12072015 steps=3 nop=0 items=4 dirty=1
[supervision] (84/200) DenverCityCouncil_12092019 steps=2 nop=0 items=2 dirty=0
[supervision] (85/200) DenverCityCouncil_12102018 steps=2 nop=0 items=1 dirty=1
[supervision] (86/200) DenverCityCouncil_12112017 steps=4 nop=0 items=4 dirty=1
[supervision] (87/200) KingCountyCC_01272020 steps=2 nop=0 items=2 dirty=0
[supervision] (88/200) KingCountyCC_02012017 steps=4 nop=0 items=1 dirty=0
[supervision] (89/200) KingCountyCC_02172021 steps=6 nop=0 items=2 dirty=0
[supervision] (90/200) KingCountyCC_03032021 steps=7 nop=0 items=3 dirty=2
[supervision] (91/200) KingCountyCC_04152019 steps=2 nop=0 items=2 dirty=0
[supervision] (92/200) KingCountyCC_04192017 steps=5 nop=0 items=2 dirty=2
[supervision] (93/200) KingCountyCC_04252016 steps=1 nop=0 items=2 dirty=0
[supervision] (94/200) KingCountyCC_05042016 steps=7 nop=0 items=2 dirty=1
[supervision] (95/200) KingCountyCC_06152022 steps=8 nop=0 items=1 dirty=1
[supervision] (96/200) KingCountyCC_07142020 steps=7 nop=0 items=6 dirty=1
[supervision] (97/200) KingCountyCC_07152019 steps=4 nop=0 items=2 dirty=0
[supervision] (98/200) KingCountyCC_07252018 steps=6 nop=0 items=5 dirty=1
[supervision] (99/200) KingCountyCC_08252020 steps=5 nop=1 items=2 dirty=1
[supervision] (100/200) KingCountyCC_09012021 steps=3 nop=0 items=2 dirty=0
[supervision] (101/200) KingCountyCC_09192018 steps=4 nop=0 items=2 dirty=1
[supervision] (102/200) KingCountyCC_11042019 steps=5 nop=0 items=2 dirty=1
[supervision] (103/200) KingCountyCC_11282016 steps=5 nop=0 items=2 dirty=0
[supervision] (104/200) LongBeachCC_01132015 steps=2 nop=1 items=1 dirty=0
[supervision] (105/200) LongBeachCC_01162018 steps=16 nop=0 items=9 dirty=6
[supervision] (106/200) LongBeachCC_01222019 steps=10 nop=0 items=10 dirty=1
[supervision] (107/200) LongBeachCC_02012022 steps=11 nop=0 items=8 dirty=5
[supervision] (108/200) LongBeachCC_02022021 steps=8 nop=0 items=13 dirty=2
[supervision] (109/200) LongBeachCC_02192019 steps=10 nop=0 items=8 dirty=6
[supervision] (110/200) LongBeachCC_03022021 steps=8 nop=0 items=8 dirty=0
[supervision] (111/200) LongBeachCC_03072017 steps=8 nop=0 items=10 dirty=1
[supervision] (112/200) LongBeachCC_03112014 steps=4 nop=0 items=3 dirty=0
[supervision] (113/200) LongBeachCC_03212017 steps=10 nop=0 items=8 dirty=2
[supervision] (114/200) LongBeachCC_04052022 steps=8 nop=1 items=10 dirty=1
[supervision] (115/200) LongBeachCC_04112017 steps=3 nop=1 items=7 dirty=1
[supervision] (116/200) LongBeachCC_04152014 steps=7 nop=0 items=8 dirty=2
[supervision] (117/200) LongBeachCC_04162019 steps=10 nop=0 items=8 dirty=2
[supervision] (118/200) LongBeachCC_04192022 steps=5 nop=0 items=15 dirty=0
[supervision] (119/200) LongBeachCC_04202016 steps=1 nop=0 items=1 dirty=0
[supervision] (120/200) LongBeachCC_04202021 steps=11 nop=0 items=11 dirty=0
[supervision] (121/200) LongBeachCC_04222014 steps=4 nop=0 items=4 dirty=0
[supervision] (122/200) LongBeachCC_05022017 steps=12 nop=0 items=7 dirty=1
[supervision] (123/200) LongBeachCC_05042021 steps=5 nop=0 items=6 dirty=2
[supervision] (124/200) LongBeachCC_05062014 steps=8 nop=0 items=4 dirty=4
[supervision] (125/200) LongBeachCC_05102022 steps=10 nop=0 items=11 dirty=2
[supervision] (126/200) LongBeachCC_05112021 steps=3 nop=0 items=5 dirty=0
[supervision] (127/200) LongBeachCC_05132014 steps=5 nop=0 items=4 dirty=1
[supervision] (128/200) LongBeachCC_05142019 steps=12 nop=1 items=5 dirty=1
[supervision] (129/200) LongBeachCC_05172016 steps=9 nop=0 items=6 dirty=2
[supervision] (130/200) LongBeachCC_05172022 steps=6 nop=0 items=12 dirty=0
[supervision] (131/200) LongBeachCC_05192020 steps=14 nop=0 items=14 dirty=4
[supervision] (132/200) LongBeachCC_05232017 steps=19 nop=0 items=13 dirty=7
[supervision] (133/200) LongBeachCC_05242022 steps=5 nop=0 items=13 dirty=1
[supervision] (134/200) LongBeachCC_06092015 steps=7 nop=1 items=7 dirty=0
[supervision] (135/200) LongBeachCC_06112019 steps=11 nop=1 items=13 dirty=6
[supervision] (136/200) LongBeachCC_06162015 steps=6 nop=0 items=5 dirty=5
[supervision] (137/200) LongBeachCC_06212022 steps=8 nop=0 items=12 dirty=2
[supervision] (138/200) LongBeachCC_07052022 steps=7 nop=1 items=11 dirty=3
[supervision] (139/200) LongBeachCC_07072020 steps=9 nop=0 items=15 dirty=0
[supervision] (140/200) LongBeachCC_07192022 steps=11 nop=0 items=11 dirty=0
[supervision] (141/200) LongBeachCC_08152017 steps=15 nop=0 items=9 dirty=5
[supervision] (142/200) LongBeachCC_08202019 steps=16 nop=0 items=9 dirty=5
[supervision] (143/200) LongBeachCC_08242021 steps=10 nop=0 items=9 dirty=3
[supervision] (144/200) LongBeachCC_10052021 steps=5 nop=0 items=12 dirty=1
[supervision] (145/200) LongBeachCC_10092018 steps=9 nop=0 items=16 dirty=3
[supervision] (146/200) LongBeachCC_10102017 steps=14 nop=0 items=10 dirty=6
[supervision] (147/200) LongBeachCC_10122021 steps=12 nop=0 items=5 dirty=2
[supervision] (148/200) LongBeachCC_10132015 steps=6 nop=0 items=7 dirty=1
[supervision] (149/200) LongBeachCC_11022020 steps=2 nop=0 items=2 dirty=0
[supervision] (150/200) LongBeachCC_11152016 steps=7 nop=0 items=5 dirty=1
[supervision] (151/200) LongBeachCC_11162021 steps=9 nop=0 items=7 dirty=4
[supervision] (152/200) LongBeachCC_12032019 steps=12 nop=0 items=8 dirty=2
[supervision] (153/200) LongBeachCC_12092014 steps=12 nop=1 items=3 dirty=6
[supervision] (154/200) SeattleCityCouncil_01032017 steps=1 nop=0 items=1 dirty=1
[supervision] (155/200) SeattleCityCouncil_01042021 steps=2 nop=0 items=5 dirty=0
[supervision] (156/200) SeattleCityCouncil_01132020 steps=2 nop=0 items=3 dirty=1
[supervision] (157/200) SeattleCityCouncil_01142019 steps=2 nop=0 items=2 dirty=0
[supervision] (158/200) SeattleCityCouncil_02042019 steps=3 nop=0 items=4 dirty=0
[supervision] (159/200) SeattleCityCouncil_02082016 steps=3 nop=0 items=6 dirty=1
[supervision] (160/200) SeattleCityCouncil_02102020 steps=6 nop=0 items=2 dirty=0
[supervision] (161/200) SeattleCityCouncil_02152022 steps=5 nop=1 items=2 dirty=1
[supervision] (162/200) SeattleCityCouncil_02162016 steps=5 nop=0 items=2 dirty=2
[supervision] (163/200) SeattleCityCouncil_02162021 steps=4 nop=1 items=4 dirty=1
[supervision] (164/200) SeattleCityCouncil_02222016 steps=2 nop=0 items=1 dirty=0
[supervision] (165/200) SeattleCityCouncil_03012022 steps=3 nop=0 items=6 dirty=0
[supervision] (166/200) SeattleCityCouncil_03152022 steps=2 nop=0 items=3 dirty=0
[supervision] (167/200) SeattleCityCouncil_03202017 steps=2 nop=0 items=2 dirty=0
[supervision] (168/200) SeattleCityCouncil_03222022 steps=1 nop=0 items=1 dirty=0
[supervision] (169/200) SeattleCityCouncil_04022018 steps=5 nop=0 items=2 dirty=2
[supervision] (170/200) SeattleCityCouncil_04112016 steps=2 nop=0 items=4 dirty=0
[supervision] (171/200) SeattleCityCouncil_04172017 steps=4 nop=0 items=5 dirty=0
[supervision] (172/200) SeattleCityCouncil_04222019 steps=5 nop=0 items=7 dirty=2
[supervision] (173/200) SeattleCityCouncil_04262022 steps=3 nop=0 items=3 dirty=1
[supervision] (174/200) SeattleCityCouncil_05032021 steps=2 nop=0 items=3 dirty=0
[supervision] (175/200) SeattleCityCouncil_05102021 steps=4 nop=0 items=11 dirty=0
[supervision] (176/200) SeattleCityCouncil_05102022 steps=4 nop=0 items=1 dirty=1
[supervision] (177/200) SeattleCityCouncil_05162016 steps=2 nop=0 items=4 dirty=0
[supervision] (178/200) SeattleCityCouncil_05212018 steps=6 nop=0 items=5 dirty=4
[supervision] (179/200) SeattleCityCouncil_05282019 steps=3 nop=0 items=9 dirty=0
[supervision] (180/200) SeattleCityCouncil_06072021 steps=7 nop=0 items=5 dirty=2
[supervision] (181/200) SeattleCityCouncil_06082015 steps=2 nop=0 items=4 dirty=1
[supervision] (182/200) SeattleCityCouncil_06272016 steps=3 nop=0 items=3 dirty=0
[supervision] (183/200) SeattleCityCouncil_07152019 steps=3 nop=0 items=2 dirty=0
[supervision] (184/200) SeattleCityCouncil_07262022 steps=5 nop=1 items=6 dirty=1
[supervision] (185/200) SeattleCityCouncil_07292019 steps=1 nop=0 items=1 dirty=0
[supervision] (186/200) SeattleCityCouncil_07302018 steps=6 nop=0 items=8 dirty=1
[supervision] (187/200) SeattleCityCouncil_09082015 steps=4 nop=0 items=12 dirty=0
[supervision] (188/200) SeattleCityCouncil_09102018 steps=2 nop=0 items=2 dirty=0
[supervision] (189/200) SeattleCityCouncil_09122016 steps=6 nop=0 items=10 dirty=1
[supervision] (190/200) SeattleCityCouncil_09142015 steps=2 nop=0 items=1 dirty=0
[supervision] (191/200) SeattleCityCouncil_09192016 steps=4 nop=0 items=5 dirty=0
[supervision] (192/200) SeattleCityCouncil_09252017 steps=5 nop=0 items=7 dirty=2
[supervision] (193/200) SeattleCityCouncil_10122015 steps=3 nop=0 items=5 dirty=1
[supervision] (194/200) SeattleCityCouncil_10262020 steps=2 nop=0 items=1 dirty=0
[supervision] (195/200) SeattleCityCouncil_11132018 steps=8 nop=0 items=3 dirty=2
[supervision] (196/200) SeattleCityCouncil_11162015 steps=1 nop=0 items=1 dirty=0
[supervision] (197/200) SeattleCityCouncil_11182019 steps=1 nop=0 items=2 dirty=0
[supervision] (198/200) SeattleCityCouncil_11262018 steps=1 nop=0 items=1 dirty=0
[supervision] (199/200) SeattleCityCouncil_12042017 steps=7 nop=0 items=7 dirty=3
[supervision] (200/200) SeattleCityCouncil_12132021 steps=9 nop=0 items=22 dirty=1
[supervision] done=200 errors=0
